ETS_path,O2_conc,MSE,MAE,RMSE
NII_BD_F,12,0.002910607950697901,0.04616199393207082,0.053950050516175616
NII_BD_F,48,0.004342336765224426,0.05503442311565472,0.06589640935001258
NII_BD_F,108,0.010735865737080871,0.09778072089218036,0.10361402287857022
NII_BD_F,144,0.021937040621458313,0.1380645963397888,0.14811158165875588
NII_BD_F,192,0.05034691129606047,0.21028309641861206,0.2243811741124029
NII_BD_R,12,0.0008718608920659301,0.024799492573670433,0.029527290631988744
NII_BD_R,48,0.0019371953342368728,0.03490095136396824,0.04401358124757485
NII_BD_R,108,0.005545208799613262,0.06962500959278314,0.07446615875425067
NII_BD_R,144,0.01336656173096637,0.10833655123846357,0.11561384748794744
NII_BD_R,192,0.034056435534887276,0.17319249702261688,0.18454385802536827
NII_CO_F,12,0.03484048277519782,0.1646223041243855,0.1866560547509719
NII_CO_F,48,0.02888134878869483,0.14108978717363616,0.16994513464260996
NII_CO_F,108,0.0475400982592785,0.2014496563858287,0.21803691948676604
NII_CO_F,144,0.0752944933573644,0.2439372996415842,0.2743984208361346
NII_CO_F,192,0.1459731629660104,0.3489189781978368,0.3820643440129037
NII_CO_R,12,0.024414167744986386,0.13751038772036983,0.15625033678359349
NII_CO_R,48,0.020358542286745298,0.11884347951761744,0.14268336373503848
NII_CO_R,108,0.0348199415482927,0.1721069446366937,0.1866010223666867
NII_CO_R,144,0.05747421804562185,0.21324866321321628,0.23973781104703082
NII_CO_R,192,0.11532250423815422,0.31009581550631493,0.3395916728044936
NI_BD_F,12,0.016557859805140546,0.11417617718364666,0.1286773476768174
NI_BD_F,48,0.019402174411742964,0.12172409979282776,0.13929168823638746
NI_BD_F,108,0.03727303797188507,0.18351804070871533,0.19306226449486463
NI_BD_F,144,0.06077228650913975,0.22868391922979212,0.24652035719011067
NI_BD_F,192,0.11905772691497736,0.32361214145833445,0.34504742705166974
NI_BD_R,12,0.01428913818464638,0.10596040253971459,0.11953718327217845
NI_BD_R,48,0.01702795364115998,0.11384026959493308,0.1304912013936571
NI_BD_R,108,0.03333407362561988,0.1735568317358291,0.18257621319772158
NI_BD_R,144,0.055218572735467,0.21816369053225904,0.23498632457116947
NI_BD_R,192,0.10953525541899461,0.3104786586869389,0.3309611086200229
NI_CO_F,12,0.04723471249950792,0.19253137741022958,0.2173354837561228
NI_CO_F,48,0.04249347592893388,0.174712396026036,0.20613945747705334
NI_CO_F,108,0.06948218057429775,0.2462701821805075,0.26359472789549065
NI_CO_F,144,0.10509461164874279,0.2920908988649827,0.32418299099234493
NI_CO_F,192,0.19532975887611959,0.4072657162456872,0.44196126399959484
NI_CO_R,12,0.04331182122197985,0.18430799609875725,0.208114923112159
NI_CO_R,48,0.039057010143640825,0.1673283558332122,0.19762846491242303
NI_CO_R,108,0.06438577804471202,0.23703635404902385,0.2537435280843868
NI_CO_R,144,0.09818665359210735,0.28240435099503935,0.313347496546737
NI_CO_R,192,0.1837907255485698,0.39507030813776267,0.4287082055997643
